"rule of thirds composition, subject off-center, balanced visual weight"
"golden ratio composition, fibonacci spiral, naturally pleasing proportions"
"golden triangle composition, diagonal lines, dynamic balance"
"centered composition, symmetrical balance, formal arrangement"
"diagonal composition, dynamic lines, sense of movement and energy"
"L-shaped composition, elements form L pattern, stable yet dynamic"
"leading lines composition, lines guide viewer's eye to subject"
"frame within frame composition, natural border around subject"
"tunnel composition, archway framing, depth through opening"
"foreground interest composition, layered depth, near and far elements"
"through window composition, view framed by window, indoor-outdoor connection"
"negative space composition, minimalist, subject with breathing room"
"fill the frame composition, tight crop, subject dominates image"
"deep depth composition, foreground, midground, background layers"
"flat composition, two-dimensional aesthetic, graphic quality"
"bird's eye view composition, overhead perspective, pattern emphasis"
"worm's eye view composition, low angle looking up, dramatic perspective"
"dynamic tension composition, contrasting elements, visual conflict"
"radial composition, elements radiating from center, circular movement"
"S-curve composition, flowing curved lines, graceful movement"
"triangular composition, three points of interest, stable arrangement"
"juxtaposition composition, contrasting elements side by side, visual comparison"
"layered composition, multiple planes of depth, complex visual hierarchy"
"portrait composition, face fills frame, intimate connection, eye contact"
"environmental portrait composition, subject in context, story-telling background"
"panoramic landscape composition, wide vista, horizontal emphasis"
"product composition, item centered, clean background, commercial appeal"
"action composition, motion blur, dynamic movement, peak moment"
"candid composition, unposed moment, authentic documentary style"
